"General Information","General Information"
"Brand Name","Brand Name"
"Page Title","Page Title"
"Url Key","Url Key"
"Short Description","Short Description"
"Description","Description"
"Meta Keywords","Meta Keywords"
"Meta Descriptions","Meta Descriptions"
"Is Featured","Is Featured"
"Yes","Yes"
"No","No"
"Status","Status"
"Active","Active"
"Inactive","Inactive"
"Logo","Logo"
"Banner","Banner"
"Banner click-through URL","Banner click-through URL"
"Sort Order","Sort Order"
"ID","ID"
"Name","Name"
"Type","Type"
"Attribute Set","Attribute Set"
"Visibility","Visibility"
"SKU","SKU"
"Price","Price"
"Featured","Featured"
"Position","Position"
"Purchased from Store","Purchased from Store"
"Purchase Date","Purchase Date"
"Bill to Name","Bill to Name"
"Ship to Name","Ship to Name"
"Qty","Qty"
"General information","General information"
"New Brand","New Brand"
"Gift Items","Gift Items"
"Save and Continue Edit","Save and Continue Edit"
"Edit Brand ","Edit Brand "
"URL Key","URL Key"
"1","1"
"2","2"
"Meta Description","Meta Description"
"Title","Title"
"Enabled","Enabled"
"Disabled","Disabled"
"Action","Action"
"Edit","Edit"
"CSV","CSV"
"XML","XML"
"Excel","Excel"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Update Status","Update Status"
"Enable","Enable"
"Disable","Disable"
"Update Featured","Update Featured"
"Import Information","Import Information"
"Import Behavior","Import Behavior"
"Import File","Import File"
"Import Brands","Import Brands"
"Brand Grid","Brand Grid"
"Add New Brand","Add New Brand"
"Option 1: Add the code below to a CMS Page or a Static Block","Option 1: Add the code below to a CMS Page or a Static Block"
"Option 2: Add the code below to a template file","Option 2: Add the code below to a template file"
"Option 3: Add the code below to a layout file","Option 3: Add the code below to a layout file"
"You deleted the brand.","You deleted the brand."
"This brand no longer exists.","This brand no longer exists."
"Brand Manager","Brand Manager"
"Edit Brand %1","Edit Brand %1"
"Invalid file upload attempt","Invalid file upload attempt"
"Brands","Brands"
"Brands Manager","Brands Manager"
"Something went wrong while deleting these brands.","Something went wrong while deleting these brands."
"Wrong brand specified.","Wrong brand specified."
"You saved the brand.","You saved the brand."
"Something went wrong while saving the brand data. Please review the error log.","Something went wrong while saving the brand data. Please review the error log."
"Shop By Brand","Shop By Brand"
"End Date must follow Start Date.","End Date must follow Start Date."
"Please specify a website.","Please specify a website."
"Please specify Customer Groups.","Please specify Customer Groups."
"The class uploader is invalid !","The class uploader is invalid !"
"Could not rebuild index for empty products array","Could not rebuild index for empty products array"
"View All Brands","View All Brands"
"Logo and name","Logo and name"
"Only name","Only name"
"Only logo","Only logo"
"None","None"
